year,week,file
2004,49,pgb20041207_wk49.zip
2004,50,pgb20041214_wk50.zip
2004,51,pgb20041221_wk51.zip
2004,52,pgb20041228_wk52.zip
2005,1,ipgb20050104_wk01.zip
2005,2,ipgb20050111_wk02.zip
2005,3,ipgb20050118_wk03.zip
2005,4,ipgb20050125_wk04.zip
2005,5,ipgb20050201_wk05.zip
2005,6,ipgb20050208_wk06.zip
2005,7,ipgb20050215_wk07.zip
2005,8,ipgb20050222_wk08.zip
2005,9,ipgb20050301_wk09.zip
2005,10,ipgb20050308_wk10.zip
2005,11,ipgb20050315_wk11.zip
2005,12,ipgb20050322_wk12.zip
2005,13,ipgb20050329_wk13.zip
2005,14,ipgb20050405_wk14.zip
2005,15,ipgb20050412_wk15.zip
2005,16,ipgb20050419_wk16.zip
2005,17,ipgb20050426_wk17.zip
2005,18,ipgb20050503_wk18.zip
2005,19,ipgb20050510_wk19.zip
2005,20,ipgb20050517_wk20.zip
2005,21,ipgb20050524_wk21.zip
2005,22,ipgb20050531_wk22.zip
2005,23,ipgb20050607_wk23.zip
2005,24,ipgb20050614_wk24.zip
2005,25,ipgb20050621_wk25.zip
2005,26,ipgb20050628_wk26.zip
2005,27,ipgb20050705_wk27.zip
2005,28,ipgb20050712_wk28.zip
2005,29,ipgb20050719_wk29.zip
2005,30,ipgb20050726_wk30.zip
2005,31,ipgb20050802_wk31.zip
2005,32,ipgb20050809_wk32.zip
2005,33,ipgb20050816_wk33.zip
2005,34,ipgb20050823_wk34.zip
2005,35,ipgb20050830_wk35.zip
2005,36,ipgb20050906_wk36.zip
2005,37,ipgb20050913_wk37.zip
2005,38,ipgb20050920_wk38.zip
2005,39,ipgb20050927_wk39.zip
2005,40,ipgb20051004_wk40.zip
2005,41,ipgb20051011_wk41.zip
2005,42,ipgb20051018_wk42.zip
2005,43,ipgb20051025_wk43.zip
2005,44,ipgb20051101_wk44.zip
2005,45,ipgb20051108_wk45.zip
2005,46,ipgb20051115_wk46.zip
2005,47,ipgb20051122_wk47.zip
2005,48,ipgb20051129_wk48.zip
2005,49,ipgb20051206_wk49.zip
2005,50,ipgb20051213_wk50.zip
2005,51,ipgb20051220_wk51.zip
2005,52,ipgb20051227_wk52.zip
2006,1,ipgb20060103_wk01.zip
2006,2,ipgb20060110_wk02.zip
2006,3,ipgb20060117_wk03.zip
2006,4,ipgb20060124_wk04.zip
2006,5,ipgb20060131_wk05.zip
2006,6,ipgb20060207_wk06.zip
2006,7,ipgb20060214_wk07.zip
2006,8,ipgb20060221_wk08.zip
2006,9,ipgb20060228_wk09.zip
2006,10,ipgb20060307_wk10.zip
2006,11,ipgb20060314_wk11.zip
2006,12,ipgb20060321_wk12.zip
2006,13,ipgb20060328_wk13.zip
2006,14,ipgb20060404_wk14.zip
2006,15,ipgb20060411_wk15.zip
2006,16,ipgb20060418_wk16.zip
2006,17,ipgb20060425_wk17.zip
2006,18,ipgb20060502_wk18.zip
2006,19,ipgb20060509_wk19.zip
2006,20,ipgb20060516_wk20.zip
2006,21,ipgb20060523_wk21.zip
2006,22,ipgb20060530_wk22.zip
2006,23,ipgb20060606_wk23.zip
2006,24,ipgb20060613_wk24.zip
2006,25,ipgb20060620_wk25.zip
2006,26,ipgb20060627_wk26.zip
2006,27,ipgb20060704_wk27.zip
2006,28,ipgb20060711_wk28.zip
2006,29,ipgb20060718_wk29.zip
2006,30,ipgb20060725_wk30.zip
2006,31,ipgb20060801_wk31.zip
2006,32,ipgb20060808_wk32.zip
2006,33,ipgb20060815_wk33.zip
2006,34,ipgb20060822_wk34.zip
2006,35,ipgb20060829_wk35.zip
2006,36,ipgb20060905_wk36.zip
2006,37,ipgb20060912_wk37.zip
2006,38,ipgb20060919_wk38.zip
2006,39,ipgb20060926_wk39.zip
2006,40,ipgb20061003_wk40.zip
2006,41,ipgb20061010_wk41.zip
2006,42,ipgb20061017_wk42.zip
2006,43,ipgb20061024_wk43.zip
2006,44,ipgb20061031_wk44.zip
2006,45,ipgb20061107_wk45.zip
2006,46,ipgb20061114_wk46.zip
2006,47,ipgb20061121_wk47.zip
2006,48,ipgb20061128_wk48.zip
2006,49,ipgb20061205_wk49.zip
2006,50,ipgb20061212_wk50.zip
2006,51,ipgb20061219_wk51.zip
2006,52,ipgb20061226_wk52.zip
2007,1,ipgb20070102_wk01.zip
2007,2,ipgb20070109_wk02.zip
2007,3,ipgb20070116_wk03.zip
2007,4,ipgb20070123_wk04.zip
2007,5,ipgb20070130_wk05.zip
2007,6,ipgb20070206_wk06.zip
2007,7,ipgb20070213_wk07.zip
2007,8,ipgb20070220_wk08.zip
2007,9,ipgb20070227_wk09.zip
2007,10,ipgb20070306_wk10.zip
2007,11,ipgb20070313_wk11.zip
2007,12,ipgb20070320_wk12.zip
2007,13,ipgb20070327_wk13.zip
2007,14,ipgb20070403_wk14.zip
2007,15,ipgb20070410_wk15.zip
2007,16,ipgb20070417_wk16.zip
2007,17,ipgb20070424_wk17.zip
2007,18,ipgb20070501_wk18.zip
2007,19,ipgb20070508_wk19.zip
2007,20,ipgb20070515_wk20.zip
2007,21,ipgb20070522_wk21.zip
2007,22,ipgb20070529_wk22.zip
2007,23,ipgb20070605_wk23.zip
2007,24,ipgb20070612_wk24.zip
2007,25,ipgb20070619_wk25.zip
2007,26,ipgb20070626_wk26.zip
2007,27,ipgb20070703_wk27.zip
2007,28,ipgb20070710_wk28.zip
2007,29,ipgb20070717_wk29.zip
2007,30,ipgb20070724_wk30.zip
2007,31,ipgb20070731_wk31.zip
2007,32,ipgb20070807_wk32.zip
2007,33,ipgb20070814_wk33.zip
2007,34,ipgb20070821_wk34.zip
2007,35,ipgb20070828_wk35.zip
2007,36,ipgb20070904_wk36.zip
2007,37,ipgb20070911_wk37.zip
2007,38,ipgb20070918_wk38.zip
2007,39,ipgb20070925_wk39.zip
2007,40,ipgb20071002_wk40.zip
2007,41,ipgb20071009_wk41.zip
2007,42,ipgb20071016_wk42.zip
2007,43,ipgb20071023_wk43.zip
2007,44,ipgb20071030_wk44.zip
2007,45,ipgb20071106_wk45.zip
2007,46,ipgb20071113_wk46.zip
2007,47,ipgb20071120_wk47.zip
2007,48,ipgb20071127_wk48.zip
2007,49,ipgb20071204_wk49.zip
2007,50,ipgb20071211_wk50.zip
2007,51,ipgb20071218_wk51.zip
2007,52,ipgb20071225_wk52.zip
2008,1,ipgb20080101_wk01.zip
2008,2,ipgb20080108_wk02.zip
2008,3,ipgb20080115_wk03.zip
2008,4,ipgb20080122_wk04.zip
2008,5,ipgb20080129_wk05.zip
2008,6,ipgb20080205_wk06.zip
2008,7,ipgb20080212_wk07.zip
2008,8,ipgb20080219_wk08.zip
2008,9,ipgb20080226_wk09.zip
2008,10,ipgb20080304_wk10.zip
2008,11,ipgb20080311_wk11.zip
2008,12,ipgb20080318_wk12.zip
2008,13,ipgb20080325_wk13.zip
2008,14,ipgb20080401_wk14.zip
2008,15,ipgb20080408_wk15.zip
2008,16,ipgb20080415_wk16.zip
2008,17,ipgb20080422_wk17.zip
2008,18,ipgb20080429_wk18.zip
2008,19,ipgb20080506_wk19.zip
2008,20,ipgb20080513_wk20.zip
2008,21,ipgb20080520_wk21.zip
2008,22,ipgb20080527_wk22.zip
2008,23,ipgb20080603_wk23.zip
2008,24,ipgb20080610_wk24.zip
2008,25,ipgb20080617_wk25.zip
2008,26,ipgb20080624_wk26.zip
2008,27,ipgb20080701_wk27.zip
2008,28,ipgb20080708_wk28.zip
2008,29,ipgb20080715_wk29.zip
2008,30,ipgb20080722_wk30.zip
2008,31,ipgb20080729_wk31.zip
2008,32,ipgb20080805_wk32.zip
2008,33,ipgb20080812_wk33.zip
2008,34,ipgb20080819_wk34.zip
2008,35,ipgb20080826_wk35.zip
2008,36,ipgb20080902_wk36.zip
2008,37,ipgb20080909_wk37.zip
2008,38,ipgb20080916_wk38.zip
2008,39,ipgb20080923_wk39.zip
2008,40,ipgb20080930_wk40.zip
2008,41,ipgb20081007_wk41.zip
2008,42,ipgb20081014_wk42.zip
2008,43,ipgb20081021_wk43.zip
2008,44,ipgb20081028_wk44.zip
2008,45,ipgb20081104_wk45.zip
2008,46,ipgb20081111_wk46.zip
2008,47,ipgb20081118_wk47.zip
2008,48,ipgb20081125_wk48.zip
2008,49,ipgb20081202_wk49.zip
2008,50,ipgb20081209_wk50.zip
2008,51,ipgb20081216_wk51.zip
2008,52,ipgb20081223_wk52.zip
2008,53,ipgb20081230_wk53.zip
2009,1,ipgb20090106_wk01.zip
2009,2,ipgb20090113_wk02.zip
2009,3,ipgb20090120_wk03.zip
2009,4,ipgb20090127_wk04.zip
2009,5,ipgb20090203_wk05.zip
2009,6,ipgb20090210_wk06.zip
2009,7,ipgb20090217_wk07.zip
2009,8,ipgb20090224_wk08.zip
2009,9,ipgb20090303_wk09.zip
2009,10,ipgb20090310_wk10.zip
2009,11,ipgb20090317_wk11.zip
2009,12,ipgb20090324_wk12.zip
2009,13,ipgb20090331_wk13.zip
2009,14,ipgb20090407_wk14.zip
2009,15,ipgb20090414_wk15.zip
2009,16,ipgb20090421_wk16.zip
2009,17,ipgb20090428_wk17.zip
2009,18,ipgb20090505_wk18.zip
2009,19,ipgb20090512_wk19.zip
2009,20,ipgb20090519_wk20.zip
2009,21,ipgb20090526_wk21.zip
2009,22,ipgb20090602_wk22.zip
2009,23,ipgb20090609_wk23.zip
2009,24,ipgb20090616_wk24.zip
2009,25,ipgb20090623_wk25.zip
2009,26,ipgb20090630_wk26.zip
2009,27,ipgb20090707_wk27.zip
2009,28,ipgb20090714_wk28.zip
2009,29,ipgb20090721_wk29.zip
2009,30,ipgb20090728_wk30.zip
2009,31,ipgb20090804_wk31.zip
2009,32,ipgb20090811_wk32.zip
2009,33,ipgb20090818_wk33.zip
2009,34,ipgb20090825_wk34.zip
2009,35,ipgb20090901_wk35.zip
2009,36,ipgb20090908_wk36.zip
2009,37,ipgb20090915_wk37.zip
2009,38,ipgb20090922_wk38.zip
2009,39,ipgb20090929_wk39.zip
2009,40,ipgb20091006_wk40.zip
2009,41,ipgb20091013_wk41.zip
2009,42,ipgb20091020_wk42.zip
2009,43,ipgb20091027_wk43.zip
2009,44,ipgb20091103_wk44.zip
2009,45,ipgb20091110_wk45.zip
2009,46,ipgb20091117_wk46.zip
2009,47,ipgb20091124_wk47.zip
2009,48,ipgb20091201_wk48.zip
2009,49,ipgb20091208_wk49.zip
2009,50,ipgb20091215_wk50.zip
2009,51,ipgb20091222_wk51.zip
2009,52,ipgb20091229_wk52.zip
2010,1,ipgb20100105_wk01.zip
2010,2,ipgb20100112_wk02.zip
2010,3,ipgb20100119_wk03.zip
2010,4,ipgb20100126_wk04.zip
2010,5,ipgb20100202_wk05.zip
2010,6,ipgb20100209_wk06.zip
2010,7,ipgb20100216_wk07.zip
2010,8,ipgb20100223_wk08.zip
2010,9,ipgb20100302_wk09.zip
